[DEBUG] 2021-02-28 15:06:48.827 [http-nio-8080-exec-3] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-28 15:06:48.852 [http-nio-8080-exec-3] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-28 15:06:48.865 [http-nio-8080-exec-3] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-28 15:06:49.203 [http-nio-8080-exec-3] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-28 15:06:49.210 [http-nio-8080-exec-3] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-28 15:06:49.730 [http-nio-8080-exec-3] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-28 15:06:49.731 [http-nio-8080-exec-3] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-28 15:06:49.792 [http-nio-8080-exec-3] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-28 15:06:50.859 [http-nio-8080-exec-3] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-28 15:06:50.946 [http-nio-8080-exec-3] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-28 15:06:50.957 [http-nio-8080-exec-3] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-28 15:06:51.005 [http-nio-8080-exec-3] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-28 15:06:51.064 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3e6dc4c
[DEBUG] 2021-02-28 15:06:51.064 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3e6dc4c
[DEBUG] 2021-02-28 15:06:51.065 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3e6dc4c
[DEBUG] 2021-02-28 15:06:51.066 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6cc2a720
[DEBUG] 2021-02-28 15:06:51.067 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@67e999b8
[DEBUG] 2021-02-28 15:06:51.067 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@3157ce96
[DEBUG] 2021-02-28 15:06:51.068 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@641a654
[DEBUG] 2021-02-28 15:06:51.069 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@641a654
[DEBUG] 2021-02-28 15:06:51.069 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@641a654
[DEBUG] 2021-02-28 15:06:51.077 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@73e3a60f
[DEBUG] 2021-02-28 15:06:51.078 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@73e3a60f
[DEBUG] 2021-02-28 15:06:51.078 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@73e3a60f
[DEBUG] 2021-02-28 15:06:51.081 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4e1bbe93
[DEBUG] 2021-02-28 15:06:51.082 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4e1bbe93
[DEBUG] 2021-02-28 15:06:51.083 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@4e1bbe93
[DEBUG] 2021-02-28 15:06:51.084 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@6d02febe
[DEBUG] 2021-02-28 15:06:51.084 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@6d02febe
[DEBUG] 2021-02-28 15:06:51.084 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6d02febe
[DEBUG] 2021-02-28 15:06:51.085 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@22aec8ae
[DEBUG] 2021-02-28 15:06:51.085 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@22aec8ae
[DEBUG] 2021-02-28 15:06:51.085 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@22aec8ae
[DEBUG] 2021-02-28 15:06:51.086 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7c2ba3a9
[DEBUG] 2021-02-28 15:06:51.086 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7c2ba3a9
[DEBUG] 2021-02-28 15:06:51.086 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7c2ba3a9
[DEBUG] 2021-02-28 15:06:51.094 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@32c6e84
[DEBUG] 2021-02-28 15:06:51.094 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@32c6e84
[DEBUG] 2021-02-28 15:06:51.099 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@32c6e84
[DEBUG] 2021-02-28 15:06:51.100 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@323c62a3
[DEBUG] 2021-02-28 15:06:51.101 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@323c62a3
[DEBUG] 2021-02-28 15:06:51.102 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@bb0286d
[DEBUG] 2021-02-28 15:06:51.103 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@bb0286d
[DEBUG] 2021-02-28 15:06:51.104 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@394c28ee
[DEBUG] 2021-02-28 15:06:51.104 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@394c28ee
[DEBUG] 2021-02-28 15:06:51.104 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@4078d23e
[DEBUG] 2021-02-28 15:06:51.105 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@3e876b12
[DEBUG] 2021-02-28 15:06:51.106 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@4d5eeb49
[DEBUG] 2021-02-28 15:06:51.114 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@4d5eeb49
[DEBUG] 2021-02-28 15:06:51.116 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@3e9626a2
[DEBUG] 2021-02-28 15:06:51.121 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3e9626a2
[DEBUG] 2021-02-28 15:06:51.126 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@180c947d
[DEBUG] 2021-02-28 15:06:51.128 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@180c947d
[DEBUG] 2021-02-28 15:06:51.130 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@5f8282e1
[DEBUG] 2021-02-28 15:06:51.130 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@5f8282e1
[DEBUG] 2021-02-28 15:06:51.136 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@facfd59
[DEBUG] 2021-02-28 15:06:51.141 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@facfd59
[DEBUG] 2021-02-28 15:06:51.149 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@1a656428
[DEBUG] 2021-02-28 15:06:51.149 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@1a656428
[DEBUG] 2021-02-28 15:06:51.153 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@49ed6b76
[DEBUG] 2021-02-28 15:06:51.155 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@49ed6b76
[DEBUG] 2021-02-28 15:06:51.158 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@3da0afc1
[DEBUG] 2021-02-28 15:06:51.158 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@3da0afc1
[DEBUG] 2021-02-28 15:06:51.161 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3809c30
[DEBUG] 2021-02-28 15:06:51.163 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3809c30
[DEBUG] 2021-02-28 15:06:51.174 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@6b6d57d4
[DEBUG] 2021-02-28 15:06:51.174 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@6b6d57d4
[DEBUG] 2021-02-28 15:06:51.175 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@7a401dbd
[DEBUG] 2021-02-28 15:06:51.176 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@7a401dbd
[DEBUG] 2021-02-28 15:06:51.181 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@515713d4
[DEBUG] 2021-02-28 15:06:51.182 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@515713d4
[DEBUG] 2021-02-28 15:06:51.182 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@515713d4
[DEBUG] 2021-02-28 15:06:51.188 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@1f652c2f
[DEBUG] 2021-02-28 15:06:51.189 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@bdad2f
[DEBUG] 2021-02-28 15:06:51.190 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@bdad2f
[DEBUG] 2021-02-28 15:06:51.190 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@bdad2f
[DEBUG] 2021-02-28 15:06:51.194 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@73c2d31d
[DEBUG] 2021-02-28 15:06:51.195 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@3888287c
[DEBUG] 2021-02-28 15:06:51.195 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@3888287c
[DEBUG] 2021-02-28 15:06:51.198 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@5943f9e6
[DEBUG] 2021-02-28 15:06:51.198 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@5943f9e6
[DEBUG] 2021-02-28 15:06:51.207 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@70b0e4ec
[DEBUG] 2021-02-28 15:06:51.207 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@70b0e4ec
[DEBUG] 2021-02-28 15:06:51.209 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@75e01187
[DEBUG] 2021-02-28 15:06:51.209 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@75e01187
[DEBUG] 2021-02-28 15:06:51.212 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@61afaa28
[DEBUG] 2021-02-28 15:06:51.212 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@61afaa28
[DEBUG] 2021-02-28 15:06:51.215 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@4e0c23f1
[DEBUG] 2021-02-28 15:06:51.218 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@4f18b607
[DEBUG] 2021-02-28 15:06:51.218 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@4f18b607
[DEBUG] 2021-02-28 15:06:51.218 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@4f18b607
[DEBUG] 2021-02-28 15:06:51.221 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@6e5f84c2
[DEBUG] 2021-02-28 15:06:51.221 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@6e5f84c2
[DEBUG] 2021-02-28 15:06:51.221 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@6e5f84c2
[DEBUG] 2021-02-28 15:06:51.222 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@412a13be
[DEBUG] 2021-02-28 15:06:51.222 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@7fd86493
[DEBUG] 2021-02-28 15:06:51.228 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@413a5436
[DEBUG] 2021-02-28 15:06:51.228 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@413a5436
[DEBUG] 2021-02-28 15:06:51.228 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@413a5436
[DEBUG] 2021-02-28 15:06:51.242 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@72f57cb6
[DEBUG] 2021-02-28 15:06:51.243 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@72f57cb6
